fk_euv,fecha_recepcion,fecha_hechos,SubtipoOrd,dependencia,pk_dependencia,MunHecho
3164200020,11/08/2016,03/04/2010,Preventiva,TSJ-JUZGADO I DE LO FAMILIAR,642,Mérida
3164200021,11/08/2016,18/09/2013,Preventiva,TSJ-JUZGADO I DE LO FAMILIAR,642,Mérida
3164200022,11/08/2016,20/09/2013,Preventiva,TSJ-JUZGADO I DE LO FAMILIAR,642,Kanasín
3164200023,11/08/2016,12/09/2013,Preventiva,TSJ-JUZGADO I DE LO FAMILIAR,642,Mérida
3164200024,11/08/2016,20/01/2014,Preventiva,TSJ-JUZGADO I DE LO FAMILIAR,642,Mérida
3164300001,11/08/2016,26/03/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300002,11/08/2016,27/03/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300003,11/08/2016,16/04/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300004,11/08/2016,08/03/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300005,11/08/2016,14/03/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300006,11/08/2016,27/03/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300007,11/08/2016,03/04/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300008,11/08/2016,19/04/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300009,11/08/2016,01/08/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300010,11/08/2016,14/08/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300011,11/08/2016,23/08/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300012,11/08/2016,19/06/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300013,11/08/2016,28/06/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300014,11/08/2016,18/06/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300015,11/08/2016,10/07/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300016,11/08/2016,10/09/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300017,11/08/2016,24/09/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300018,11/08/2016,12/09/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300019,11/08/2016,15/08/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300020,11/08/2016,11/09/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300021,11/08/2016,21/08/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300022,11/08/2016,08/01/2014,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300023,11/08/2016,10/09/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300024,11/08/2016,10/01/2014,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3164300025,11/08/2016,11/09/2013,Preventiva,TSJ-JUZGADO II DE ORALIDAD FAMILIAR,643,Mérida
3116900001,11/08/2016,26/12/2012,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900002,11/08/2016,13/11/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900003,11/08/2016,27/11/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900004,11/08/2016,17/11/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900005,11/08/2016,26/11/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900006,11/08/2016,12/11/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900007,11/08/2016,02/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900008,11/08/2016,24/09/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900009,11/08/2016,09/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900010,11/08/2016,03/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900011,11/08/2016,03/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900012,11/08/2016,05/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900013,11/08/2016,12/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900014,11/08/2016,05/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900015,11/10/2016,13/11/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900016,11/10/2016,27/11/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900017,11/10/2016,17/11/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900018,11/10/2016,26/11/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900019,11/10/2016,12/11/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900020,11/10/2016,02/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900021,11/10/2016,24/09/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900022,11/10/2016,09/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900023,11/10/2016,26/12/2012,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Kanasín
3116900024,11/10/2016,03/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900025,11/10/2016,03/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900026,11/10/2016,05/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900027,11/10/2016,12/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3116900028,11/10/2016,05/12/2013,Preventiva,FISCALIA GENERAL DEL ESTADO,169,Mérida
3117200262,27/06/2017,13/04/2017,Seleccione,PODER JUDICIAL,176,Mérida
3117200262,27/06/2017,13/04/2017,Seleccione,PODER JUDICIAL,176,Mérida
3117200297,09/08/2017,05/11/2016,Emergencia,PODER JUDICIAL,176,Mérida
3164200018,11/08/2016,13/10/2013,Preventiva,TSJ-JUZGADO I DE LO FAMILIAR,642,Mérida
3117200434,25/10/2017,27/10/2016,Emergencia,PODER JUDICIAL,176,Valladolid
3117200454,27/10/2017,27/10/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117200535,06/11/2017,10/10/2016,Emergencia,PODER JUDICIAL,176,Tizimín
3117200555,07/11/2017,15/12/2016,Emergencia,PODER JUDICIAL,176,Tizimín
3117200561,07/11/2017,18/10/2017,Seleccione,PODER JUDICIAL,176,Mérida
3117200576,07/11/2017,21/10/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117200633,13/11/2017,08/12/2016,Emergencia,PODER JUDICIAL,176,Mérida
3117200658,14/11/2017,16/02/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117200661,14/11/2017,16/02/2017,Emergencia,PODER JUDICIAL,176,Mayapán
3117200684,15/11/2017,03/01/2017,Seleccione,PODER JUDICIAL,176,Kanasín
3117200850,16/11/2017,23/02/2017,Emergencia,PODER JUDICIAL,176,Progreso
3117201009,17/11/2017,13/05/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117201052,21/11/2017,31/05/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117201060,21/11/2017,12/12/2016,Seleccione,SECRETARIA DE LAS MUJERES,172,Tekantó
3117201128,27/11/2017,29/05/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117201215,12/12/2017,06/06/2017,Emergencia,SECRETARIA DE LAS MUJERES,172,Mérida
3117201223,12/12/2017,06/04/2017,Emergencia,PODER JUDICIAL,176,Panabá
3117201255,27/12/2017,27/06/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117201266,28/12/2017,26/06/2017,Seleccione,PODER JUDICIAL,176,Mérida
3117201336,05/01/2018,02/06/2017,Emergencia,PODER JUDICIAL,176,Tizimín
3117201343,05/01/2018,25/07/2017,Seleccione,PODER JUDICIAL,176,Kanasín
3117201350,05/01/2018,24/07/2017,Seleccione,PODER JUDICIAL,176,Mérida
3117201357,05/01/2018,02/10/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117201570,09/01/2018,10/08/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117201636,10/01/2018,05/12/2017,Emergencia,PODER JUDICIAL,176,Progreso
3117201796,10/01/2018,09/08/2017,Emergencia,PODER JUDICIAL,176,Kanasín
3117201975,11/01/2018,10/08/2017,Seleccione,PODER JUDICIAL,176,Izamal
3117202004,11/01/2018,22/05/2017,Emergencia,PODER JUDICIAL,176,Motul
3117202096,11/01/2018,12/01/2017,Emergencia,PODER JUDICIAL,176,Mérida
3117202122,11/01/2018,23/05/2017,Emergencia,PODER JUDICIAL,176,Tizimín
3117202171,12/01/2018,03/08/2017,Seleccione,SECRETARIA DE LAS MUJERES,172,Mérida
3117202177,12/01/2018,10/08/2017,Emergencia,PODER JUDICIAL,176,Progreso
3117202232,12/01/2018,17/08/2017,Emergencia,PODER JUDICIAL,176,Tekax
3117202258,12/01/2018,04/12/2017,Seleccione,PODER JUDICIAL,176,Kanasín
3117202503,15/01/2018,17/08/2017,Emergencia,PODER JUDICIAL,176,Progreso
3117202503,15/01/2018,17/08/2017,Emergencia,SECRETARIA DE LAS MUJERES,172,Progreso
3117202509,15/01/2018,17/08/2017,Emergencia,PODER JUDICIAL,176,Progreso
3117202561,15/01/2018,10/10/2017,Emergencia,PODER JUDICIAL,176,Mérida
